Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
FRFC02,47.640847,6.865081,374,France,Belfort,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 18:11
FRFC03,46.9146134,6.351011,833.8,France,Pontarlier,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 17:16
FRFC04,46.397709,5.792866,590,France,SaintLupicin,BASLER 1300gm,TL-SG2210P,Operational,23/01/2021 19:43
FRIF01,43.149088,38.746165,100,France,Buthiers,DMK 23G445,TL-SG2210P,Pending,31/07/2020 12:00
FRIF02,48.83655,2.336725,88,France,ParisObservatoire,DMK 23G445,TL-SG2210P,Operational,28/01/2021 23:49
FRIF03,48.742632,2.742281,112,France,Uranoscope,DMK 23G445,TL-SG2210P,Operational,29/01/2021 19:01
FRIF04,48.706433,2.179331,174,France,Orsay,DMK 23G445,TL-SG2210P,Production,21/02/2020 22:37
FRIF05,48.843075,2.357177,55,France,ParisMnhn,DMK 23G445,T1500G-10PS,Production,21/11/2020 23:48
FRIF06,48.362668,2.522362,80,France,Levaudoue,DMK 23G445,T1500G-10PS,Operational,29/01/2021 03:18
FRLI01,45.8231,0.819906,250,France,Rochechouart,DMK 23G445,TL-SG2210P,Operational,26/01/2021 06:44
FRLI02,45.16508,1.908838,539,France,SaintBonnetElvert,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRLI03,45.955477,2.165551,447.3,France,Aubusson,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRLO01,48.655893,6.155328,373,France,VandoeuvreLesNancy,BASLER 1300gm,TL-SG2210P,Operational,12/01/2021 16:56
FRLO02,48.185721,6.435744,363,France,Epinal,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 03:41
FRLO03,49.214218,5.995857,228,France,Homecourt,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRLR01,43.6326738,3.865524,73.8,France,Montpellier,DMK 23G445,TL-SG2210P,Operational,29/01/2021 18:48
FRLR02,43.161526,2.125917,254,France,Cailhavel,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRLR03,43.1635478,2.87381139,85,France,Narbonne,BASLER 1300gm,TL-SG2210P,Moved,31/07/2020 12:00
FRLR04,44.50437,3.73716,1196,France,LeBleymard,BASLER 1300gm,TL-SG2210P,Operational,25/01/2021 20:30
FRLR05,43.161526,2.125917,254,France,Carcassonne,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:30
FRLR06,42.47742,2.306972,1555,France,Mantet,BASLER 1300gm,TL-SG2210P,Operational,18/01/2021 02:43
FRLR07,43.1635478,2.87381139,85,France,Bizanet,BASLER 1300gm,TL-SG2210P,Operational,28/01/2021 17:26
FRMP01,42.936362,0.1426258,2877,France,Picdumidi,DMK 23G445,TL-SG2210P,Operational,29/01/2021 02:12
FRMP02,43.562164,1.479209,151,France,Toulouse,DMK 23G445,T1500G-10PS,Operational,29/01/2021 18:28
FRMP03,42.7878236,1.300228,1526,France,Guzet,DMK 23G445,TL-SG2210P,Operational,24/01/2021 01:01
FRMP04,43.918671,2.137611,192,France,Albi,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRMP05,44.45545,1.445918,126,France,Cahors,DMK 23G445,TL-SG2210P,Operational,29/01/2021 19:22
FRMP06,43.919035,0.819706,225,France,Mauroux,BASLER 1300gm,TL-SG2210P,Operational,26/01/2021 06:45
FRMP07,44.364935,2.585813,552,France,Onetlechateau,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRMP08,44.745122,1.725729,330,France,Gramat,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRMP99,42.936362,0.1426258,2877,France,Fripondev,DMK 33GX273,T1500G-10PS,Production,31/07/2020 12:00
FRNO01,49.665715,-1.692611,21.1,France,Querqueville,BASLER 1300gm,TL-SG2210P,Operational,29/01/2021 04:32
FRNO02,-999.9,-999.9,-999.9,France,Flers,None,TL-SG2210P,NotOperational,31/07/2020 12:00
FRNO03,49.192307,-0.366897,58,France,Caen,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRNO04,48.185502,0.647542,95,France,LaFerteBernard,DMK 23G445,TL-SG2210P,Operational,29/01/2021 17:33
FRNO05,49.447464,1.100422,49.5,France,Rouen,DMK 23G445,TL-SG2210P,Operational,29/01/2021 19:37
FRNO06,48.663646,-1.446219,16,France,Vains,DMK 23G445,TL-SG2210P,Production,31/07/2020 12:00
FRNO07,49.630735,-1.727798,180,France,Ludiver,DMK 23G445,T1500G-10PS,Operational,26/01/2021 17:58
FRNP01,50.614975,3.071544,35,France,Lille,BASLER 1300gm,TL-SG2210P,Operational,18/01/2021 19:11
